"","Cell","Batch","Group","ExpLibSize","Step","sizeFactor"
"Cell1127","Cell1127","Batch1","1","47922.2385020479","49","0.779168495931186"
"Cell1128","Cell1128","Batch1","2","43211.974132919","89","0.715545154340512"
"Cell1129","Cell1129","Batch1","1","55405.5597228327","58","0.90477413341765"
"Cell1130","Cell1130","Batch1","2","84501.6553696812","44","1.40539153309913"
"Cell1131","Cell1131","Batch1","4","53546.19080761","56","0.873364518817559"
"Cell1132","Cell1132","Batch1","1","52715.6592985821","12","0.864650566177722"
"Cell1133","Cell1133","Batch1","2","104430.538577975","4","1.72910420687206"
"Cell1134","Cell1134","Batch1","2","40479.4138846065","24","0.66283476662082"
"Cell1135","Cell1135","Batch1","2","61605.4475134692","100","0.995261393033584"
"Cell1136","Cell1136","Batch1","1","68384.3830653904","53","1.1215890906258"
"Cell1137","Cell1137","Batch1","1","54408.4363891415","22","0.885163637363779"
"Cell1138","Cell1138","Batch1","3","75867.0629995834","7","1.24447059225875"
"Cell1139","Cell1139","Batch1","4","70339.4057868259","11","1.12677479502163"
"Cell1140","Cell1140","Batch1","2","60516.0290304607","6","0.994490101556988"
"Cell1141","Cell1141","Batch1","1","47407.2626755939","88","0.781498780817922"
"Cell1142","Cell1142","Batch1","1","63874.1507024078","2","1.04734818338922"
"Cell1143","Cell1143","Batch1","4","56153.4497006762","73","0.928881094675504"
"Cell1144","Cell1144","Batch1","1","50151.8131453291","20","0.842020546045264"
"Cell1145","Cell1145","Batch1","3","61713.3548351582","92","1.0120985218631"
"Cell1146","Cell1146","Batch1","2","67229.8547124969","23","1.08699584737763"
"Cell1147","Cell1147","Batch1","2","58933.5981948931","72","0.959043514547482"
"Cell1148","Cell1148","Batch1","1","70951.6208338618","29","1.15765927499936"
"Cell1149","Cell1149","Batch1","4","36235.4537023677","92","0.593352891899408"
"Cell1150","Cell1150","Batch1","1","69403.6974793055","25","1.14180677358677"
"Cell1151","Cell1151","Batch1","4","53412.5567767316","64","0.876400453353096"
"Cell1152","Cell1152","Batch1","1","63405.6214737094","30","1.05090925254712"
"Cell1153","Cell1153","Batch1","3","75321.7315066717","40","1.24524188373535"
"Cell1154","Cell1154","Batch1","4","61568.8746651855","71","1.0014481353033"
"Cell1155","Cell1155","Batch1","4","60948.548605809","86","0.990371076862828"
"Cell1156","Cell1156","Batch1","1","35382.3411326971","54","0.577664495056312"
"Cell1157","Cell1157","Batch1","1","46936.7314079755","2","0.763709845485373"
"Cell1158","Cell1158","Batch1","1","69552.0391258948","16","1.13821288351498"
"Cell1159","Cell1159","Batch1","1","45107.9333225472","10","0.735746426844541"
"Cell1160","Cell1160","Batch1","2","58543.3899965629","76","0.958846589064096"
"Cell1161","Cell1161","Batch1","1","63627.8407514255","26","1.05355133611588"
"Cell1162","Cell1162","Batch1","1","55781.4936872954","90","0.908811105827065"
"Cell1163","Cell1163","Batch1","2","50501.1557981745","13","0.838771275569393"
"Cell1164","Cell1164","Batch1","2","44701.6362450383","83","0.747200925794835"
"Cell1165","Cell1165","Batch1","4","63123.6240582313","58","1.02087811633073"
"Cell1166","Cell1166","Batch1","2","40885.4041338875","68","0.674519011968398"
"Cell1167","Cell1167","Batch1","4","49759.3540865908","98","0.837983573635848"
"Cell1168","Cell1168","Batch1","1","58552.8908245154","46","0.944602312432498"
"Cell1169","Cell1169","Batch1","3","49362.8361261318","97","0.807427302797098"
"Cell1170","Cell1170","Batch1","1","57954.8892426808","6","0.940893549162059"
"Cell1171","Cell1171","Batch1","4","71113.8086192846","44","1.16944198308863"
"Cell1172","Cell1172","Batch1","3","60091.2641667369","33","0.993292138199722"
"Cell1173","Cell1173","Batch1","2","61540.6056975855","25","0.998822462191483"
"Cell1174","Cell1174","Batch1","2","82435.9753152191","32","1.36418487570058"
"Cell1175","Cell1175","Batch1","3","58556.0579688647","61","0.960750202070162"
"Cell1176","Cell1176","Batch1","1","63391.8874929256","34","1.04321274823811"
"Cell1177","Cell1177","Batch1","3","40264.2002064114","56","0.666133268467538"
"Cell1178","Cell1178","Batch1","3","60243.3844474076","53","0.985579223433765"
"Cell1179","Cell1179","Batch1","1","51431.1357915607","4","0.840609246747663"
"Cell1180","Cell1180","Batch1","1","46873.0122245292","10","0.765252428438565"
"Cell1181","Cell1181","Batch1","2","73165.0648959021","60","1.20651320533607"
"Cell1182","Cell1182","Batch1","2","59616.7417484911","61","0.96887337825984"
"Cell1183","Cell1183","Batch1","2","72335.0638568711","94","1.1790749213176"
"Cell1184","Cell1184","Batch1","2","49926.2280940459","12","0.823329035580529"
"Cell1185","Cell1185","Batch1","4","37032.8099695601","92","0.602116075910091"
"Cell1186","Cell1186","Batch1","1","61857.4367767597","16","1.00840616904961"
"Cell1187","Cell1187","Batch1","1","72304.510068621","18","1.18127392254875"
"Cell1188","Cell1188","Batch1","3","99600.3514365839","64","1.6346784375884"
"Cell1189","Cell1189","Batch1","1","71498.9602557449","61","1.18037134741656"
"Cell1190","Cell1190","Batch1","1","74019.7592397593","23","1.22912681501158"
"Cell1191","Cell1191","Batch1","3","52936.6091120082","21","0.867883426196645"
"Cell1192","Cell1192","Batch1","4","64252.1828361144","18","1.04846409446174"
"Cell1193","Cell1193","Batch1","1","54444.3508865227","56","0.889249841144042"
"Cell1194","Cell1194","Batch1","3","65147.6345382883","82","1.05637393471108"
"Cell1195","Cell1195","Batch1","2","47253.7913141469","93","0.782368535036211"
"Cell1196","Cell1196","Batch1","4","55450.7258742552","38","0.90575876083458"
"Cell1197","Cell1197","Batch1","4","44715.1137587334","23","0.734482821659479"
"Cell1198","Cell1198","Batch1","3","60424.7848463728","13","1.00622357827541"
"Cell1199","Cell1199","Batch1","1","65544.9353814658","18","1.06242939332521"
"Cell1200","Cell1200","Batch1","1","60567.4666582351","73","0.986301283539514"
"Cell1201","Cell1201","Batch1","2","52694.229394072","30","0.876679431121226"
"Cell1202","Cell1202","Batch1","3","57083.1203491094","50","0.941632019724757"
"Cell1203","Cell1203","Batch1","4","43106.0861321879","91","0.689436117334898"
"Cell1204","Cell1204","Batch1","3","57267.3015252737","98","0.948508001186323"
"Cell1205","Cell1205","Batch1","3","41977.3854191952","85","0.700349071205881"
"Cell1206","Cell1206","Batch1","4","59689.2263199664","59","0.983872535911085"
"Cell1207","Cell1207","Batch1","3","84983.2430026068","98","1.39554525892982"
"Cell1208","Cell1208","Batch1","4","68929.6226251575","10","1.12129370240072"
"Cell1209","Cell1209","Batch1","2","80515.4092902937","29","1.31237706311307"
"Cell1210","Cell1210","Batch1","3","78478.3117715137","20","1.28904139333182"
"Cell1211","Cell1211","Batch1","1","56050.5046969951","23","0.909762912330099"
"Cell1212","Cell1212","Batch1","3","64389.1067604553","75","1.05693189024735"
"Cell1213","Cell1213","Batch1","1","41542.2995496898","57","0.677538536046985"
"Cell1214","Cell1214","Batch1","1","71593.2123454567","5","1.18109340752231"
"Cell1215","Cell1215","Batch1","2","51853.3599624505","92","0.83284710061086"
"Cell1216","Cell1216","Batch1","4","72265.4846889311","48","1.18867503863268"
"Cell1217","Cell1217","Batch1","4","41182.4915159975","89","0.698527510484559"
"Cell1218","Cell1218","Batch1","1","75312.4352891922","19","1.21796770428637"
"Cell1219","Cell1219","Batch1","2","54143.9641599303","51","0.877516364425617"
"Cell1220","Cell1220","Batch1","1","79632.6667271317","91","1.30579646987659"
"Cell1221","Cell1221","Batch1","2","59642.9963892954","83","0.97456780682109"
"Cell1222","Cell1222","Batch1","1","52700.7652193898","94","0.865323394912625"
"Cell1223","Cell1223","Batch1","3","66148.2821422169","93","1.06297093840452"
"Cell1224","Cell1224","Batch1","4","59180.6940083832","31","0.967855929929012"
"Cell1225","Cell1225","Batch1","2","52825.8875710305","21","0.870919360732181"
"Cell1226","Cell1226","Batch1","1","50064.9202818561","25","0.821687989885645"
"Cell1227","Cell1227","Batch1","1","96955.9511983951","91","1.5983949172745"
"Cell1228","Cell1228","Batch1","2","49516.9616711546","81","0.812268387597007"
"Cell1229","Cell1229","Batch1","4","66958.6336918353","1","1.09782674896387"
"Cell1230","Cell1230","Batch1","2","57395.2635334488","74","0.938891473414299"
"Cell1231","Cell1231","Batch1","2","48846.0619776252","52","0.795349206482748"
"Cell1232","Cell1232","Batch1","2","45340.7652591959","82","0.718581088876048"
"Cell1233","Cell1233","Batch1","2","44456.8412583293","31","0.720025209087547"
"Cell1234","Cell1234","Batch1","1","45197.2296627516","83","0.74613424609316"
"Cell1235","Cell1235","Batch1","1","44389.26338643","25","0.736255151009955"
"Cell1236","Cell1236","Batch1","4","68681.0899471307","25","1.11136537594667"
"Cell1237","Cell1237","Batch1","2","57105.0409088447","66","0.947884403822267"
"Cell1238","Cell1238","Batch1","2","89306.404734314","37","1.47671137899881"
"Cell1239","Cell1239","Batch1","2","67958.1760319859","20","1.11664954308419"
"Cell1240","Cell1240","Batch1","3","83253.0055073621","48","1.35591400539836"
"Cell1241","Cell1241","Batch1","2","66207.1491090355","47","1.10634377612032"
"Cell1242","Cell1242","Batch1","2","70904.8050523446","43","1.14837095636631"
"Cell1243","Cell1243","Batch1","1","65739.1211887968","83","1.07598443076495"
"Cell1244","Cell1244","Batch1","1","55248.0866085399","39","0.899736123134354"
"Cell1245","Cell1245","Batch1","4","72020.4467736972","2","1.1947304972468"
"Cell1246","Cell1246","Batch1","4","59777.7544674344","11","0.977111427648161"
"Cell1247","Cell1247","Batch1","4","73626.246229187","37","1.20244341201276"
"Cell1248","Cell1248","Batch1","3","51030.2872791253","49","0.842135419243906"
"Cell1249","Cell1249","Batch1","3","73192.3805870417","78","1.18806785172557"
"Cell1250","Cell1250","Batch1","1","56252.4755435546","32","0.925073868663371"
"Cell1251","Cell1251","Batch1","1","50149.8139206485","23","0.828416277234671"
"Cell1252","Cell1252","Batch1","1","40763.7718362683","22","0.678720088947302"
"Cell1253","Cell1253","Batch1","3","82779.8661870612","41","1.36684336972629"
"Cell1254","Cell1254","Batch1","4","66426.6746156092","11","1.09072102110502"
"Cell1255","Cell1255","Batch1","2","59209.069706146","13","0.967773877644267"
"Cell1256","Cell1256","Batch1","1","68822.3290921141","95","1.12398501734033"
"Cell1257","Cell1257","Batch1","2","60518.4245556082","85","0.987171037757803"
"Cell1258","Cell1258","Batch1","2","46071.1997996525","99","0.765810383974826"
"Cell1259","Cell1259","Batch1","4","39159.0480999495","83","0.635888796310816"
"Cell1260","Cell1260","Batch1","1","57433.5715874279","8","0.946899776405336"
"Cell1261","Cell1261","Batch1","1","56243.3271224755","44","0.916130169626251"
"Cell1262","Cell1262","Batch1","3","48453.1610172","75","0.782286482751467"
"Cell1263","Cell1263","Batch1","2","65084.6961977746","97","1.06269196063639"
"Cell1264","Cell1264","Batch1","3","56213.3579260989","96","0.938875062957351"
"Cell1265","Cell1265","Batch1","1","70622.9065907419","88","1.15290024248419"
"Cell1266","Cell1266","Batch1","2","77517.1442895216","35","1.2857100705712"
"Cell1267","Cell1267","Batch1","2","52837.6352399565","25","0.872708100539605"
"Cell1268","Cell1268","Batch1","4","50260.293418363","29","0.83099271897564"
"Cell1269","Cell1269","Batch1","1","61615.6631158675","53","0.994014198305472"
"Cell1270","Cell1270","Batch1","2","79621.3798342989","8","1.30494312611525"
"Cell1271","Cell1271","Batch1","1","42321.4832684297","71","0.704418864529194"
"Cell1272","Cell1272","Batch1","2","50641.1147899607","40","0.836588684795196"
"Cell1273","Cell1273","Batch1","3","51888.3449720242","71","0.853606328651149"
"Cell1274","Cell1274","Batch1","4","64535.0774639397","100","1.06446428998687"
"Cell1275","Cell1275","Batch1","3","96438.9642494936","82","1.58313319231208"
"Cell1276","Cell1276","Batch1","3","54568.7911518661","90","0.891744230600266"
"Cell1277","Cell1277","Batch1","1","54978.6341959448","43","0.906956724191846"
"Cell1278","Cell1278","Batch1","4","42590.2638119271","44","0.69623004651172"
"Cell1279","Cell1279","Batch1","3","48615.6380541986","70","0.793478414390579"
"Cell1280","Cell1280","Batch1","4","69824.9721809623","94","1.13690004695907"
"Cell1281","Cell1281","Batch1","1","51582.4060092057","8","0.845811361600448"
"Cell1282","Cell1282","Batch1","2","54323.1473195044","31","0.879518440173376"
"Cell1283","Cell1283","Batch1","2","55792.3538405044","45","0.892810910301941"
"Cell1284","Cell1284","Batch1","3","59132.7322419585","1","0.961012769381343"
"Cell1285","Cell1285","Batch1","3","82778.4484366498","11","1.35967200003965"
"Cell1286","Cell1286","Batch1","1","76821.6884723289","52","1.24566855561602"
"Cell1287","Cell1287","Batch1","1","89475.3091826159","35","1.47006514393453"
"Cell1288","Cell1288","Batch1","3","41320.5856821613","84","0.66979280036713"
"Cell1289","Cell1289","Batch1","2","54581.8737220685","71","0.885065174622086"
"Cell1290","Cell1290","Batch1","2","73763.6075743839","3","1.20794091509062"
"Cell1291","Cell1291","Batch1","1","56344.0822228813","85","0.926058496080302"
"Cell1292","Cell1292","Batch1","4","63806.8697588761","75","1.04721689973363"
"Cell1293","Cell1293","Batch1","4","52588.3661448745","100","0.856002255365681"
"Cell1294","Cell1294","Batch1","2","41201.0545669008","35","0.683003218210951"
"Cell1295","Cell1295","Batch1","1","47032.8082137127","8","0.786257813333087"
"Cell1296","Cell1296","Batch1","2","87505.0348235887","58","1.43163185376034"
"Cell1297","Cell1297","Batch1","2","56822.2292456565","52","0.941894587035938"
"Cell1298","Cell1298","Batch1","2","85613.3359006696","51","1.41162750673969"
"Cell1299","Cell1299","Batch1","2","71215.096407146","67","1.16105623958777"
"Cell1300","Cell1300","Batch1","1","68907.2163147771","7","1.11548440064083"
"Cell1301","Cell1301","Batch1","2","82843.3246347519","76","1.3490052030229"
"Cell1302","Cell1302","Batch1","1","43563.2096671153","30","0.710211755832137"
"Cell1303","Cell1303","Batch1","1","52997.5919764503","48","0.862714132257758"
"Cell1304","Cell1304","Batch1","4","56237.764322692","8","0.911682935793113"
"Cell1305","Cell1305","Batch1","4","49790.2293704353","90","0.822590565017831"
"Cell1306","Cell1306","Batch1","3","56880.273817089","74","0.926452347047074"
"Cell1307","Cell1307","Batch1","1","39475.2460653904","52","0.64222323269307"
"Cell1308","Cell1308","Batch1","2","45096.9188120015","49","0.749892240734445"
"Cell1309","Cell1309","Batch1","3","67653.6239954021","80","1.10527709641864"
"Cell1310","Cell1310","Batch1","2","62837.3021615971","88","1.02166581826428"
"Cell1311","Cell1311","Batch1","1","77714.1759602163","67","1.28224746415499"
"Cell1312","Cell1312","Batch1","2","55999.2896284223","67","0.918460454512987"
"Cell1313","Cell1313","Batch1","2","55441.9618921281","27","0.910107531926024"
"Cell1314","Cell1314","Batch1","3","55037.2967765932","13","0.900720750551285"
"Cell1315","Cell1315","Batch1","3","49430.7981583928","11","0.813548403239017"
"Cell1316","Cell1316","Batch1","3","62932.8309802729","1","1.02511201422353"
"Cell1317","Cell1317","Batch1","1","47298.0395275824","22","0.761527254711177"
"Cell1318","Cell1318","Batch1","1","66112.8663472303","94","1.08469838340479"
"Cell1319","Cell1319","Batch1","3","57783.5342075999","27","0.967691825359523"
"Cell1320","Cell1320","Batch1","2","69908.7980922965","29","1.1506191889683"
"Cell1321","Cell1321","Batch1","3","76848.3497663225","64","1.26629650000072"
"Cell1322","Cell1322","Batch1","1","55091.8267063639","22","0.90362540143123"
"Cell1323","Cell1323","Batch1","4","54943.2664567827","1","0.886952377171203"
"Cell1324","Cell1324","Batch1","2","59319.5941823686","69","0.978850936084738"
"Cell1325","Cell1325","Batch1","1","52484.9474316368","29","0.853934537790126"
"Cell1326","Cell1326","Batch1","3","82496.9676057578","95","1.34624824625549"
"Cell1327","Cell1327","Batch1","1","59116.514069922","23","0.967199511651058"
"Cell1328","Cell1328","Batch1","1","71236.8505078497","42","1.17100097649877"
"Cell1329","Cell1329","Batch1","1","64580.9720520967","73","1.05348569428809"
"Cell1330","Cell1330","Batch1","4","79470.219560517","100","1.29980665309026"
"Cell1331","Cell1331","Batch1","2","57422.6812900285","52","0.947851582908369"
"Cell1332","Cell1332","Batch1","4","35045.0999693571","69","0.572921872998095"
"Cell1333","Cell1333","Batch1","1","67631.971011894","31","1.11139819686056"
"Cell1334","Cell1334","Batch1","2","48692.0944642289","45","0.781597243559615"
"Cell1335","Cell1335","Batch1","3","66136.6476300951","32","1.07498339289108"
"Cell1336","Cell1336","Batch1","3","49277.4342782633","50","0.80000977625622"
"Cell1337","Cell1337","Batch1","2","58753.4773054765","8","0.964491786254498"
"Cell1338","Cell1338","Batch1","4","53594.6571047598","76","0.878205603617469"
"Cell1339","Cell1339","Batch1","4","57002.3677164217","58","0.929258535185327"
"Cell1340","Cell1340","Batch1","1","52524.9134664662","17","0.870689614334897"
"Cell1341","Cell1341","Batch1","1","49179.834543366","28","0.810036565451964"
"Cell1342","Cell1342","Batch1","1","62272.8921517252","83","1.02978899445395"
"Cell1343","Cell1343","Batch1","4","46943.2515594851","14","0.767221683272426"
"Cell1344","Cell1344","Batch1","1","56556.2743201365","64","0.921693314531909"
"Cell1345","Cell1345","Batch1","1","56383.4405461335","19","0.922645121034942"
"Cell1346","Cell1346","Batch1","1","52695.0024507624","29","0.857085345524304"
"Cell1347","Cell1347","Batch1","1","84844.0020425972","41","1.38000455619927"
"Cell1348","Cell1348","Batch1","1","41196.9655476496","96","0.685940690004794"
"Cell1349","Cell1349","Batch1","3","60248.7375965972","11","0.987367963241189"
"Cell1350","Cell1350","Batch1","3","47012.8935578665","89","0.782762386002983"
"Cell1351","Cell1351","Batch1","1","45788.5715923002","79","0.750269681244269"
"Cell1352","Cell1352","Batch1","1","59329.2996408264","43","0.968971841001533"
"Cell1353","Cell1353","Batch1","1","92743.9939520513","69","1.51686776715264"
"Cell1354","Cell1354","Batch1","2","79572.1279477619","41","1.31142525661004"
"Cell1355","Cell1355","Batch1","1","62109.1999502153","16","1.02829564287161"
"Cell1356","Cell1356","Batch1","2","52544.3803942801","28","0.854886344293159"
"Cell1357","Cell1357","Batch1","2","90085.2626135662","19","1.45214492494639"
"Cell1358","Cell1358","Batch1","1","57130.9774634374","9","0.929094430615839"
"Cell1359","Cell1359","Batch1","1","50096.9319503955","29","0.805901130300855"
"Cell1360","Cell1360","Batch1","4","45638.4544239015","14","0.749367106112082"
"Cell1361","Cell1361","Batch1","4","53273.5054133371","43","0.87477581811516"
"Cell1362","Cell1362","Batch1","4","83584.9721040055","73","1.39621808766473"
"Cell1363","Cell1363","Batch1","1","74395.3464514979","54","1.22773192617093"
"Cell1364","Cell1364","Batch1","1","66936.900144533","29","1.09679289017609"
"Cell1365","Cell1365","Batch1","2","43158.446997168","100","0.703302953456673"
"Cell1366","Cell1366","Batch1","2","56709.2374294718","40","0.934575523236753"
"Cell1367","Cell1367","Batch1","2","74485.4967397473","57","1.22531958899945"
"Cell1368","Cell1368","Batch1","2","56232.4543058793","61","0.914948616725934"
"Cell1369","Cell1369","Batch1","1","52239.5536951693","20","0.856461748160248"
"Cell1370","Cell1370","Batch1","2","60501.058352604","93","0.99801834980099"
"Cell1371","Cell1371","Batch1","2","51955.3880089398","25","0.861220780675414"
"Cell1372","Cell1372","Batch1","1","55773.7349163158","10","0.919592776042457"
"Cell1373","Cell1373","Batch1","1","96664.9996706256","43","1.57763568923421"
"Cell1374","Cell1374","Batch1","2","66849.6928138883","93","1.08937536363521"
"Cell1375","Cell1375","Batch1","4","76861.2539744845","70","1.2416972250344"
"Cell1376","Cell1376","Batch1","3","60469.478582856","39","0.994391638815295"
"Cell1377","Cell1377","Batch1","4","54660.1518163851","51","0.915129131752371"
"Cell1378","Cell1378","Batch1","4","68294.0468794786","2","1.11261257067478"
"Cell1379","Cell1379","Batch1","1","44484.9637378047","36","0.731988432203255"
"Cell1380","Cell1380","Batch1","2","80325.0583004054","84","1.30387644641357"
"Cell1381","Cell1381","Batch1","4","57276.6185832966","58","0.941500736069166"
"Cell1382","Cell1382","Batch1","3","32713.3770479654","68","0.532076245652419"
"Cell1383","Cell1383","Batch1","2","50321.1574089611","29","0.82431366299746"
"Cell1384","Cell1384","Batch1","1","55117.4525957688","71","0.902033587107192"
"Cell1385","Cell1385","Batch1","1","89129.3222461477","56","1.43399495956097"
"Cell1386","Cell1386","Batch1","2","58935.6851726967","43","0.968151318154091"
"Cell1387","Cell1387","Batch1","1","44499.5435427163","46","0.728689930356537"
"Cell1388","Cell1388","Batch1","4","56535.5990122956","17","0.938153002851601"
"Cell1389","Cell1389","Batch1","3","50000.84809651","5","0.804292905519868"
"Cell1390","Cell1390","Batch1","2","43704.0728740878","31","0.717793386942503"
"Cell1391","Cell1391","Batch1","2","52382.9802780687","51","0.861762325754725"
"Cell1392","Cell1392","Batch1","1","41306.1673035487","27","0.677390841934446"
"Cell1393","Cell1393","Batch1","1","102414.60246372","83","1.70013975035735"
"Cell1394","Cell1394","Batch1","4","63300.5531801791","91","1.0504005283817"
"Cell1395","Cell1395","Batch1","3","67847.2357165938","48","1.11515619150185"
"Cell1396","Cell1396","Batch1","1","47558.3900631412","26","0.790573763510633"
"Cell1397","Cell1397","Batch1","3","77585.3160018227","97","1.24325621844454"
"Cell1398","Cell1398","Batch1","4","66464.6625165871","67","1.09475799351443"
"Cell1399","Cell1399","Batch1","2","49626.2248557547","61","0.799090790667084"
"Cell1400","Cell1400","Batch1","3","58597.799727346","77","0.964196398029419"
"Cell1401","Cell1401","Batch1","1","55274.8724589479","93","0.900294078670615"
"Cell1402","Cell1402","Batch1","3","77446.3155355992","94","1.26820011300678"
"Cell1403","Cell1403","Batch1","4","57946.194623663","16","0.937595047315341"
"Cell1404","Cell1404","Batch1","2","74387.706159914","27","1.22211954989442"
"Cell1405","Cell1405","Batch1","2","69283.7998225135","43","1.12963021453073"
"Cell1406","Cell1406","Batch1","4","56396.6411259033","60","0.93505142648827"
"Cell1407","Cell1407","Batch1","2","59279.3489464794","4","0.978850936084738"
"Cell1408","Cell1408","Batch1","1","50388.484150534","92","0.816961778284377"
"Cell1409","Cell1409","Batch1","1","54198.0592835379","29","0.88429388314549"
"Cell1410","Cell1410","Batch1","1","45288.8596137184","35","0.73476179942761"
"Cell1411","Cell1411","Batch1","1","55001.9852038345","12","0.904117715139696"
"Cell1412","Cell1412","Batch1","2","55660.306065621","70","0.938612495646169"
"Cell1413","Cell1413","Batch1","1","57318.7950551762","75","0.936134516646893"
"Cell1414","Cell1414","Batch1","2","98702.9740888327","4","1.63492459444263"
"Cell1415","Cell1415","Batch1","2","61638.0576637683","98","1.01516727731253"
"Cell1416","Cell1416","Batch1","2","44553.2023001174","97","0.733202806017469"
"Cell1417","Cell1417","Batch1","4","72102.8389275119","73","1.17242868625332"
"Cell1418","Cell1418","Batch1","2","56522.6017969251","77","0.931293431846984"
"Cell1419","Cell1419","Batch1","4","79369.9007191272","20","1.28966499069587"
"Cell1420","Cell1420","Batch1","2","60521.4786633853","48","0.974518575450243"
"Cell1421","Cell1421","Batch1","4","82566.0250321465","14","1.3603284183176"
"Cell1422","Cell1422","Batch1","3","59668.2048410554","68","0.981115579143679"
"Cell1423","Cell1423","Batch1","4","53716.3224144457","71","0.876876356604612"
"Cell1424","Cell1424","Batch1","1","88941.8915856585","1","1.46919538971624"
"Cell1425","Cell1425","Batch1","2","45559.6379540049","74","0.754306653653685"
"Cell1426","Cell1426","Batch1","1","65184.6487970197","29","1.08958869957555"
"Cell1427","Cell1427","Batch1","1","49253.6224265728","85","0.807230377313712"
"Cell1428","Cell1428","Batch1","2","76008.0349553234","50","1.24627574252313"
"Cell1429","Cell1429","Batch1","2","65394.401254337","7","1.07731367777781"
"Cell1430","Cell1430","Batch1","4","54950.0839785147","44","0.902017176650244"
"Cell1431","Cell1431","Batch1","1","55518.2540122322","74","0.922448195551556"
"Cell1432","Cell1432","Batch1","4","71520.5436760416","51","1.17935389908573"
"Cell1433","Cell1433","Batch1","2","48387.5959469531","31","0.7931830261655"
"Cell1434","Cell1434","Batch1","2","51253.8368995534","9","0.847714974606514"
"Cell1435","Cell1435","Batch1","4","64962.9591243565","22","1.06712278401258"
"Cell1436","Cell1436","Batch1","2","69567.6079308429","34","1.13351949282761"
"Cell1437","Cell1437","Batch1","2","42488.9518855926","5","0.701826012331277"
"Cell1438","Cell1438","Batch1","4","62221.192577313","18","1.03223415253933"
"Cell1439","Cell1439","Batch1","4","47460.5136352145","90","0.781072108937252"
"Cell1440","Cell1440","Batch1","1","52661.2024550999","19","0.863469013277405"
"Cell1441","Cell1441","Batch1","3","77846.0033001737","10","1.28392133076378"
"Cell1442","Cell1442","Batch1","2","73152.9708598246","34","1.190496599354"
"Cell1443","Cell1443","Batch1","1","57600.9553218233","95","0.946686440465001"
"Cell1444","Cell1444","Batch1","3","49680.3437580305","66","0.818258204383336"
"Cell1445","Cell1445","Batch1","4","63708.029728692","6","1.04731536247532"
"Cell1446","Cell1446","Batch1","1","82179.7617013486","41","1.35356731005468"
"Cell1447","Cell1447","Batch1","2","71770.5737712326","79","1.16082649319049"
"Cell1448","Cell1448","Batch1","2","64875.7101076731","75","1.06946947935626"
"Cell1449","Cell1449","Batch1","1","60787.5020420782","45","0.992767003577359"
"Cell1450","Cell1450","Batch1","3","74005.7323684424","64","1.20459318187306"
"Cell1451","Cell1451","Batch1","2","71925.6055421791","5","1.18115904935011"
"Cell1452","Cell1452","Batch1","1","70393.3878668145","30","1.15232587649098"
"Cell1453","Cell1453","Batch1","1","51931.2259481102","64","0.860712056509999"
"Cell1454","Cell1454","Batch1","3","34964.30504448","30","0.583769185041282"
"Cell1455","Cell1455","Batch1","4","53454.7400741908","21","0.876121475584965"
"Cell1456","Cell1456","Batch1","1","77640.1342574319","4","1.2793264028181"
"Cell1457","Cell1457","Batch1","3","57638.2501323946","48","0.942977677194562"
"Cell1458","Cell1458","Batch1","1","52701.0328633183","99","0.867620858885463"
"Cell1459","Cell1459","Batch1","2","39851.8147886627","70","0.656090068814844"
"Cell1460","Cell1460","Batch1","3","53057.1826534718","3","0.873512212930099"
"Cell1461","Cell1461","Batch1","2","50938.1597570372","76","0.83242042873019"
"Cell1462","Cell1462","Batch1","2","53031.6489495309","22","0.874923512227699"
"Cell1463","Cell1463","Batch1","4","60923.9573145697","75","0.993538295053955"
"Cell1464","Cell1464","Batch1","2","57133.1960788267","30","0.933853463131004"
"Cell1465","Cell1465","Batch1","1","77072.7745979707","27","1.26785549341086"
"Cell1466","Cell1466","Batch1","2","43793.4867805498","20","0.70107113131163"
"Cell1467","Cell1467","Batch1","1","44413.8081945179","37","0.742179325968488"
"Cell1468","Cell1468","Batch1","4","48077.6665611638","92","0.776083330024803"
"Cell1469","Cell1469","Batch1","3","59526.6059506941","78","0.974075493112624"
"Cell1470","Cell1470","Batch1","1","92479.0104699093","35","1.52390785318369"
"Cell1471","Cell1471","Batch1","2","78744.0036567227","3","1.28132847856586"
"Cell1472","Cell1472","Batch1","4","55510.2999778551","74","0.923121024286459"
"Cell1473","Cell1473","Batch1","4","51238.7327850871","46","0.854098642359615"
"Cell1474","Cell1474","Batch1","1","77096.8009008559","80","1.25663074085785"
"Cell1475","Cell1475","Batch1","2","63678.522825174","66","1.04746305658786"
"Cell1476","Cell1476","Batch1","2","55066.6562422402","76","0.90008074273028"
"Cell1477","Cell1477","Batch1","4","59425.0666663504","60","0.982477647070433"
"Cell1478","Cell1478","Batch1","2","75921.843359311","37","1.25851794340696"
"Cell1479","Cell1479","Batch1","3","58622.1834578182","40","0.968134907697142"
"Cell1480","Cell1480","Batch1","3","62348.0908318059","74","1.03103618918207"
"Cell1481","Cell1481","Batch1","1","69988.1831652035","45","1.15606746067532"
"Cell1482","Cell1482","Batch1","1","53721.6585476738","48","0.90277205766989"
"Cell1483","Cell1483","Batch1","1","39922.4288176863","69","0.656369046582975"
"Cell1484","Cell1484","Batch1","2","59615.1849274244","67","0.998083991628785"
"Cell1485","Cell1485","Batch1","4","76454.9166446613","75","1.2402531048229"
